"dpto","code","mpio","year","periodo","crop","harvested","prod","yield","NA"
"NORTE DE SANTANDER",54099,"BOCHALEMA","CAFE",2007,"2007",773.36,748.36,263.6825,0.352347132396173
"NORTE DE SANTANDER",54128,"CACHIRA","CAFE",2007,"2007",757.15,662.97,327.686875,0.494271045447004
"NORTE DE SANTANDER",54261,"EL ZULIA","CAFE",2007,"2007",733.55,670.66,425.95375,0.635126218948499
"NORTE DE SANTANDER",54680,"SANTIAGO","CAFE",2007,"2007",539.58,529.27,142.248125,0.268762871502258
"NORTE DE SANTANDER",54003,"ABREGO","CAFE",2007,"2007",492.04,455.94,188.05875,0.412463811027767
"NORTE DE SANTANDER",54498,"OCAÑA","CAFE",2007,"2007",435.54,385.21,206.186875,0.535258365566834
"NORTE DE SANTANDER",54520,"PAMPLONITA","CAFE",2007,"2007",361.04,352.06,110.54625,0.313998324149293
"NORTE DE SANTANDER",54599,"RAGONVALIA","CAFE",2007,"2007",357.06,332.76,130.5875,0.392437492487078
"NORTE DE SANTANDER",54871,"VILLA CARO","CAFE",2007,"2007",326.38,318.91,99.800625,0.312942914928977
"NORTE DE SANTANDER",54405,"LOS PATIOS","CAFE",2007,"2007",254.28,252.09,106.221875,0.421364889523583
"NORTE DE SANTANDER",54673,"SAN CAYETANO","CAFE",2007,"2007",213.02,212.18,56.70875,0.267267178810444
"NORTE DE SANTANDER",54874,"VILLA DEL ROSARIO","CAFE",2007,"2007",186.66,182.21,55.909375,0.306840321606937
"NORTE DE SANTANDER",54398,"LA PLAYA","CAFE",2007,"2007",133.53,121.32,57.7925,0.476364160896802
"NORTE DE SANTANDER",54347,"HERRAN","CAFE",2007,"2007",130.65,125.29,60.176875,0.4803007023705
"NORTE DE SANTANDER",54001,"CUCUTA","CAFE",2007,"2007",69.42,67.39,24.165625,0.358593634070337
"NORTE DE SANTANDER",54174,"CHITAGA","CAFE",2007,"2007",57.49,52.61,16.064375,0.305348317810302
"PUTUMAYO",86320,"ORITO","CAFE",2007,"2007",40,12,8,0.666666666666667
"PUTUMAYO",86001,"MOCOA","CAFE",2007,"2007",20,20,23,1.15
"PUTUMAYO",86569,"PUERTO CAICEDO","CAFE",2007,"2007",3,3,3,1
"QUINDIO",63130,"CALARCA","CAFE",2007,"2007",4735.72883993746,3776,4744,1.25635593220339
"QUINDIO",63594,"QUIMBAYA","CAFE",2007,"2007",3610.06132922175,2964,4164,1.40485829959514
"QUINDIO",63548,"PIJAO","CAFE",2007,"2007",2626.01733192983,2368,2585,1.09163851351351
"QUINDIO",63272,"FILANDIA","CAFE",2007,"2007",2289.19074817122,1920,2722,1.41770833333333
"QUINDIO",63190,"CIRCASIA","CAFE",2007,"2007",2236.66302070881,1874,2379,1.26947705442903
"QUINDIO",63001,"ARMENIA","CAFE",2007,"2007",2102.93410672779,1820,2608,1.43296703296703
"QUINDIO",63212,"CORDOBA","CAFE",2007,"2007",1516.53397195481,1328,1375,1.03539156626506
"QUINDIO",63111,"BUENAVISTA","CAFE",2007,"2007",1137.16019910076,990,1274,1.28686868686869
"QUINDIO",63470,"MONTENEGRO","CAFE",2007,"2007",1112.51244714523,930,1413,1.51935483870968
"QUINDIO",63302,"GENOVA","CAFE",2007,"2007",1042.65954821745,931,886,0.951664876476907
"QUINDIO",63690,"SALENTO","CAFE",2007,"2007",676.866783648849,611,589,0.963993453355156
"QUINDIO",63401,"LA TEBAIDA","CAFE",2007,"2007",482.152773493469,392,687,1.75255102040816
"RISARALDA",66088,"BELEN DE UMBRIA","CAFE",2007,"2007",8039.62,7187.22,11265,1.56736540693064
"RISARALDA",66001,"PEREIRA","CAFE",2007,"2007",7918.78,7097.55,12265.55,1.72813858303217
"RISARALDA",66682,"SANTA ROSA DE CABAL","CAFE",2007,"2007",6695.79,6083.82,9578.6,1.57443842848736
"RISARALDA",66687,"SANTUARIO","CAFE",2007,"2007",6167,4915.02,9151,1.8618438989058
"RISARALDA",66440,"MARSELLA","CAFE",2007,"2007",5218.7,4012.9,5977.4,1.48954621346159
"RISARALDA",66045,"APIA","CAFE",2007,"2007",4851,4451,7410.6,1.66492922938665
"RISARALDA",66594,"QUINCHIA","CAFE",2007,"2007",3889.55,3532.55,3763.37,1.06534090104882
"RISARALDA",66383,"LA CELIA","CAFE",2007,"2007",3754.02,3043.94,3248.62,1.06724179845858
"RISARALDA",66318,"GUATICA","CAFE",2007,"2007",2620.1,2094,2655.4,1.26809933142311
"RISARALDA",66075,"BALBOA","CAFE",2007,"2007",2487,2207,2391,1.08337109198006
"RISARALDA",66170,"DOSQUEBRADAS","CAFE",2007,"2007",1910.51,1022.35,1806.41,1.76691935247225
"RISARALDA",66456,"MISTRATO","CAFE",2007,"2007",1588.86,1499.82,2498.7,1.6659999199904
"RISARALDA",66572,"PUEBLO RICO","CAFE",2007,"2007",513.19,484,784.5,1.62086776859504
"RISARALDA",66400,"LA VIRGINIA","CAFE",2007,"2007",60.52,58.08,46.4,0.798898071625344
"SANTANDER",68689,"SAN VICENTE DE CHUCURI","CAFE",2007,"2007",3940.1,3517.6,3277,0.9316010916534
"SANTANDER",68755,"SOCORRO","CAFE",2007,"2007",2590.82,2120,1504,0.709433962264151
"SANTANDER",68679,"SAN GIL","CAFE",2007,"2007",1842.61,1650,1270,0.76969696969697
"SANTANDER",68615,"RIONEGRO","CAFE",2007,"2007",1682,1682,1009,0.599881093935791
"SANTANDER",68320,"GUADALUPE","CAFE",2007,"2007",1403.26,1050,957,0.911428571428571
"SANTANDER",68855,"VALLE DE SAN JOSE","CAFE",2007,"2007",1273.37,420,420,1
"SANTANDER",68572,"PUENTE NACIONAL","CAFE",2007,"2007",1267.03,1238,742.8,0.6
"SANTANDER",68444,"MATANZA","CAFE",2007,"2007",1266.66,665,641,0.96390977443609
"SANTANDER",68549,"PINCHOTE","CAFE",2007,"2007",1250.39,1150,1265,1.1
"SANTANDER",68051,"ARATOCA","CAFE",2007,"2007",1240,1240,1240,1
"SANTANDER",68217,"COROMORO","CAFE",2007,"2007",1193.67,988,988,1
"SANTANDER",68500,"OIBA","CAFE",2007,"2007",1190.16,883,973,1.10192525481314
"SANTANDER",68770,"SUAITA","CAFE",2007,"2007",1190,1190,1094,0.919327731092437
"SANTANDER",68235,"EL CARMEN DE CHUCURI","CAFE",2007,"2007",1156.28,1088,870,0.799632352941177
"SANTANDER",68533,"PARAMO","CAFE",2007,"2007",1119.62,932.5,839.25,0.9
"SANTANDER",68167,"CHARALA","CAFE",2007,"2007",931.99,725,562,0.775172413793103
"SANTANDER",68229,"CURITI","CAFE",2007,"2007",910.9,800,1200,1.5
"SANTANDER",68176,"CHIMA","CAFE",2007,"2007",843.34,680,545,0.801470588235294
"SANTANDER",68498,"OCAMONTE","CAFE",2007,"2007",789.7,736,779,1.05842391304348
